,chinese,english
0,嗨。,Hi.
1,你好。,Hi.
2,你用跑的。,Run.
3,住手！,Stop!
4,等等！,Wait!
5,等一下！,Wait!
6,開始！,Begin.
7,你好。,Hello!
8,我試試。,I try.
9,我贏了。,I won!
10,不會吧。,Oh no!
11,乾杯!,Cheers!
12,知道了沒有？,Got it?
13,懂了嗎？,Got it?
14,你懂了嗎？,Got it?
15,他跑了。,He ran.
16,跳進來。,Hop in.
17,我知道。,I know.
18,我退出。,I quit.
19,我不幹了。,I quit.
20,我沒事。,I'm OK.
21,我已經起來了。,I'm up.
22,聽著。,Listen.
23,不可能！,No way!
24,沒門！,No way!
25,真的？,Really?
26,你確定？,Really?
27,謝謝！,Thanks!
28,試試吧。,Try it.
29,我們來試試。,We try.
30,為什麼是我？,Why me?
31,去問湯姆。,Ask Tom.
32,好棒！,Awesome!
33,冷靜點。,Be calm.
34,公平點。,Be fair.
35,友善點。,Be kind.
36,友好點。,Be kind.
37,和氣點。,Be nice.
38,友善點。,Be nice.
39,聯繫我。,Call me.
40,聯繫我們。,Call us.
41,進來。,Come in.
42,找到湯姆。,Get Tom.
43,滾出去！,Get out!
44,出去！,Get out!
45,走開！,Go away!
46,滾！,Go away!
47,走開！,Go away.
48,回家。,Go home.
49,回家吧。,Go home.
50,再見！,Goodbye!
51,告辭！,Goodbye!
52,堅持。,Hang on!
53,等一下！,Hang on!
54,堅持。,Hang on.
55,他來了。,He came.
56,他跑。,He runs.
57,幫我一下。,Help me.
58,幫幫我們吧！,Help us.
59,去打湯姆。,Hit Tom.
60,堅持。,Hold on.
61,抱抱湯姆！,Hug Tom.
62,請抱緊湯姆。,Hug Tom.
63,我同意。,I agree.
64,我覺得很熱。,I'm hot.
65,我生病了。,I'm ill.
66,我很難過。,I'm sad.
67,我很害羞。,I'm shy.
68,我濕了。,I'm wet.
69,沒關係。,It's OK.
70,是我。,It's me.
71,來加入我們吧。,Join us.
72,留著吧。,Keep it.
73,吻我。,Kiss me.
74,完美！,Perfect!
75,再見！,See you.
76,閉嘴！,Shut up!
77,不管它。,Skip it.
78,拿走吧。,Take it.
79,告訴我！,Tell me.
80,湯姆勝利了。,Tom won.
81,醒醒！,Wake up!
82,去清洗一下。,Wash up.
83,我們知道。,We know.
84,歡迎。,Welcome.
85,誰贏了？,Who won?
86,為什麼不？,Why not?
87,你跑。,You run.
88,算你狠。,You win.
89,往後退點。,Back off!
90,後退！,Back off!
91,往後退點。,Back off.
92,靜靜的，別動。,Be still.
93,我一無所知。,Beats me.
94,把他銬上。,Cuff him.
95,往前開。,Drive on.
96,走開！,Get away!
97,滾！,Get away!
98,趴下！,Get down!
99,滾！,Get lost!
100,滾。,Get lost!
101,滾。,Get lost.
102,醒醒吧。,Get real.
103,做得好！,Good job!
104,乾的好！,Good job!
105,抓住湯姆。,Grab Tom.
106,抓住他。,Grab him.
107,玩得開心。,Have fun.
108,他來試試。,He tries.
109,多可愛啊！,How cute!
110,你就隨了我的意吧。,Humor me.
111,趕快!,Hurry up.
112,快點！,Hurry up.
113,快點。,Hurry up.
114,我做到了！,I did it.
115,我忘了。,I forgot.
116,我放棄。,I resign.
117,我來付錢。,I'll pay.
118,我回來了！,I'm back.
119,我很忙。,I'm busy.
120,我冷。,I'm cold.
121,我很酷。,I'm cool.
122,我很好。,I'm fine.
123,我自由了！,I'm free!
124,我吃飽了。,I'm full.
125,我在家裡。,I'm home.
126,我迷失了。,I'm lost.
127,我生病了。,I'm sick.
128,我病了。,I'm sick.
129,我個子高。,I'm tall.
130,讓我一個人呆會兒。,Leave me.
131,走吧。,Let's go!
132,我們開始吧！,Let's go!
133,我們走吧!,Let's go!
134,當心！,Look out!
135,啥？,Say what?
136,她跑。,She runs.
137,請坐。,Sit down.
138,起立。,Stand up.
139,很棒！,Terrific!
140,他們贏了。,They won.
141,湯姆去世了。,Tom died.
142,湯姆說謊了。,Tom lied.
143,湯姆輸了。,Tom lost.
144,湯姆不幹了。,Tom quit.
145,湯姆游泳了。,Tom swam.
146,Tom游泳。,Tom swam.
147,相信我。,Trust me.
148,努力。,Try hard.
149,試試吧。,Try some.
150,試試這個。,Try this.
151,請用這個。,Use this.
152,誰死了？,Who died?
153,我死了嗎？,Am I dead?
154,回答我。,Answer me.
155,鳥類飛行。,Birds fly.
156,打電話回家！,Call home!
157,冷靜點。,Calm down.
158,抓住他。,Catch him.
159,回家吧。,Come home.
160,冷靜點。,Cool down.
161,現在就做。,Do it now.
162,狗會叫。,Dogs bark.
163,別哭。,Don't cry.
164,對不起。,Excuse me.
165,好棒！,Fantastic!
166,很棒！,Fantastic!
167,來感受一下這個。,Feel this.
168,請跟我來。,Follow me.
169,跟我走。,Follow me.
170,請跟著我們。,Follow us.
171,算了。,Forget it.
172,祝你好運。,Good luck.
173,晚安。,Goodnight.
174,抓住那個。,Grab that.
175,抓住這個。,Grab this.
176,別碰！,Hands off.
177,他是一個 DJ 。,He's a DJ.
178,他很忙。,He's busy.
179,他很懶。,He's lazy.
180,停火。,Hold fire.
181,太可怕了。,How awful!
182,真奇怪。,How weird!
183,多怪啊！,How weird!
184,我冷。,I am cold.
185,我吃飽了。,I am full.
186,我沒事。,I am okay.
187,我生病了。,I am sick.
188,我個子高。,I am tall.
189,我拍手。,I clapped.
190,我瞭解你。,I get you.
191,我放棄。,I give up.
192,我希望如此。,I hope so.
193,我笑了。,I laughed.
194,我向你保證。,I promise.
195,我看見湯姆了。,I saw Tom.
196,我害羞。,I was shy.
197,我要游泳。,I'll swim.
198,我是個男人。,I'm a man.
199,我覺得很無聊。,I'm bored.
200,我是第一。,I'm first.
201,我運氣很好。,I'm lucky.
202,我是對的。,I'm right.
203,我很清醒。,I'm sober.
204,對不起。,I'm sorry.
205,我很抱歉。,I'm sorry.
206,我很累。,I'm tired.
207,我還年輕。,I'm young.
208,不放在眼裡。,Ignore it.
209,遠嗎？,Is it far?
210,是你嗎？,Is it you?
211,下了雨。,It rained.
212,下雪了。,It snowed.
213,3點半了。,It's 3:30.
214,現在是七點四十五分。,It's 7:45.
215,現在是7點45分。,It's 7:45.
216,天很冷。,It's cold.
217,它是食物。,It's food.
218,它是免費的。,It's free.
219,很晚了。,It's late.
220,這是真的。,It's true.
221,留著吧。,Keep them.
222,殺了他們,Kill them.
223,讓我進去。,Let me in.
224,躺著不動。,Lie still.
225,回頭看！,Look back!
226,騰一下地方。,Move over.
227,當然!,Of course!
228,當然哪！,Of course!
229,當然是的。,Of course.
230,當然。,Of course.
231,當然了。,Of course.
232,開火！,Open fire!
233,念這個。,Read this.
234,參見上文。,See above.
235,真的？,Seriously?
236,認真的？,Seriously?
237,她哭了。,She cried.
238,她試過了。,She tried.
239,她在行走。,She walks.
240,耐心等著。,Sit tight.
241,慢一點。,Slow down.
242,保持冷靜。,Stay calm.
243,趴著！,Stay down!
244,住手。,Stop that!
245,照顧好自己。,Take care!
246,照顧好自己。,Take care.
247,保重。,Take care.
248,拿我的。,Take mine.
249,謝謝。,Thank you.
250,那又怎樣?,Then what?
251,他們離開了。,They left.
252,時間到了。,Time's up.
253,湯姆睡了。,Tom slept.
254,Tom游泳。,Tom swims.
255,湯姆揮手了。,Tom waved.
256,湯姆要走。,Tom'll go.
257,再試一次。,Try again.
258,再試一下。,Try again.
259,向左轉。,Turn left.
260,在這等著。,Wait here.
261,當心！,Watch out!
262,做得好！,Well done!
263,乾的好！,Well done!
264,愛誰誰。,Who cares?
265,誰知道？,Who knows?
266,湯姆是誰？,Who's Tom?
267,她是誰？,Who's she?
268,很棒！,Wonderful!
269,蠢貨！,You idiot!
270,你身上發臭了。,You stink.
271,請上船！,All aboard!
272,我錯了嗎？,Am I wrong?
273,你起床了嗎？,Are you up?
274,小心!,Be careful!
275,要守時！,Be on time.
276,耐心等著。,Be patient.
277,鳥兒歌唱。,Birds sing.
278,我可以幫忙嗎?,Can I help?
279,進來。,Come on in.
280,必須的！,Definitely!
281,當然哪！,Definitely!
282,別擔心。,Don't fret.
283,別動！,Don't move!
284,不要動。,Don't move.
285,不要動.,Don't move.
286,不要等待！,Don't wait.
287,把它填滿。,Fill it up.
288,跟著他走。,Follow him.
289,回家吧。,Go on home.
290,去洗洗吧。,Go wash up.
291,上帝存在。,God exists.
292,晚安。,Good night.
293,他讓步了.,He gave in.
294,他是一個 DJ 。,He is a DJ.
295,他很忙。,He is busy.
296,他很懶。,He is lazy.
297,他很兇。,He is mean.
298,他很窮。,He is poor.
299,他高。,He is tall.
300,你好，湯姆。,"Hello, Tom."
301,嘿，放鬆點。,"Hey, relax."
302,多可愛啊！,How lovely!
303,工作怎麼樣？,How's work?
304,趕快回家。,Hurry home.
